アイスランド,IS,ISL,352,ISO 3166-2:IS
アイルランド,IE,IRL,372,ISO 3166-2:IE
アゼルバイジャン,AZ,AZE,31,ISO 3166-2:AZ
アフガニスタン,AF,AFG,4,ISO 3166-2:AF
アメリカ合衆国,US,USA,840,ISO 3166-2:US
アメリカ領ヴァージン諸島,VI,VIR,850,ISO 3166-2:VI
アメリカ領サモア,AS,ASM,16,ISO 3166-2:AS
アラブ首長国連邦,AE,ARE,784,ISO 3166-2:AE
アルジェリア,DZ,DZA,12,ISO 3166-2:DZ
アルゼンチン,AR,ARG,32,ISO 3166-2:AR
アルバ,AW,ABW,533,ISO 3166-2:AW
アルバニア,AL,ALB,8,ISO 3166-2:AL
アルメニア,AM,ARM,51,ISO 3166-2:AM
アンギラ,AI,AIA,660,ISO 3166-2:AI
アンゴラ,AO,AGO,24,ISO 3166-2:AO
アンティグア・バーブーダ,AG,ATG,28,ISO 3166-2:AG
アンドラ,AD,AND,20,ISO 3166-2:AD
イエメン,YE,YEM,887,ISO 3166-2:YE
イギリス,GB,GBR,826,ISO 3166-2:GB
イギリス領インド洋地域,IO,IOT,86,ISO 3166-2:IO
イギリス領ヴァージン諸島,VG,VGB,92,ISO 3166-2:VG
イスラエル,IL,ISR,376,ISO 3166-2:IL
イタリア,IT,ITA,380,ISO 3166-2:IT
イラク,IQ,IRQ,368,ISO 3166-2:IQ
イラン・イスラム共和国,IR,IRN,364,ISO 3166-2:IR
インド,IN,IND,356,ISO 3166-2:IN
インドネシア,ID,IDN,360,ISO 3166-2:ID
ウォリス・フツナ,WF,WLF,876,ISO 3166-2:WF
ウガンダ,UG,UGA,800,ISO 3166-2:UG
ウクライナ,UA,UKR,804,ISO 3166-2:UA
ウズベキスタン,UZ,UZB,860,ISO 3166-2:UZ
ウルグアイ,UY,URY,858,ISO 3166-2:UY
エクアドル,EC,ECU,218,ISO 3166-2:EC
エジプト,EG,EGY,818,ISO 3166-2:EG
エストニア,EE,EST,233,ISO 3166-2:EE
エチオピア,ET,ETH,231,ISO 3166-2:ET
エリトリア,ER,ERI,232,ISO 3166-2:ER
エルサルバドル,SV,SLV,222,ISO 3166-2:SV
オーストラリア,AU,AUS,36,ISO 3166-2:AU
オーストリア,AT,AUT,40,ISO 3166-2:AT
オーランド諸島,AX,ALA,248,ISO 3166-2:AX
オマーン,OM,OMN,512,ISO 3166-2:OM
オランダ,NL,NLD,528,ISO 3166-2:NL
ガーナ,GH,GHA,288,ISO 3166-2:GH
カーボベルデ,CV,CPV,132,ISO 3166-2:CV
ガーンジー,GG,GGY,831,ISO 3166-2:GG
ガイアナ,GY,GUY,328,ISO 3166-2:GY
カザフスタン,KZ,KAZ,398,ISO 3166-2:KZ
カタール,QA,QAT,634,ISO 3166-2:QA
合衆国領有小離島,UM,UMI,581,ISO 3166-2:UM
カナダ,CA,CAN,124,ISO 3166-2:CA
ガボン,GA,GAB,266,ISO 3166-2:GA
カメルーン,CM,CMR,120,ISO 3166-2:CM
ガンビア,GM,GMB,270,ISO 3166-2:GM
カンボジア,KH,KHM,116,ISO 3166-2:KH
北マリアナ諸島,MP,MNP,580,ISO 3166-2:MP
ギニア,GN,GIN,324,ISO 3166-2:GN
ギニアビサウ,GW,GNB,624,ISO 3166-2:GW
キプロス,CY,CYP,196,ISO 3166-2:CY
キューバ,CU,CUB,192,ISO 3166-2:CU
キュラソー,CW,CUW,531,ISO 3166-2:CW
ギリシャ,GR,GRC,300,ISO 3166-2:GR
キリバス,KI,KIR,296,ISO 3166-2:KI
キルギス,KG,KGZ,417,ISO 3166-2:KG
グアテマラ,GT,GTM,320,ISO 3166-2:GT
グアドループ,GP,GLP,312,ISO 3166-2:GP
グアム,GU,GUM,316,ISO 3166-2:GU
クウェート,KW,KWT,414,ISO 3166-2:KW
クック諸島,CK,COK,184,ISO 3166-2:CK
グリーンランド,GL,GRL,304,ISO 3166-2:GL
クリスマス島,CX,CXR,162,ISO 3166-2:CX
グルジア,GE,GEO,268,ISO 3166-2:GE
グレナダ,GD,GRD,308,ISO 3166-2:GD
クロアチア,HR,HRV,191,ISO 3166-2:HR
ケイマン諸島,KY,CYM,136,ISO 3166-2:KY
ケニア,KE,KEN,404,ISO 3166-2:KE
コートジボワール,CI,CIV,384,ISO 3166-2:CI
ココス（キーリング）諸島,CC,CCK,166,ISO 3166-2:CC
コスタリカ,CR,CRI,188,ISO 3166-2:CR
コモロ,KM,COM,174,ISO 3166-2:KM
コロンビア,CO,COL,170,ISO 3166-2:CO
コンゴ共和国,CG,COG,178,ISO 3166-2:CG
コンゴ民主共和国,CD,COD,180,ISO 3166-2:CD
サウジアラビア,SA,SAU,682,ISO 3166-2:SA
サウスジョージア・サウスサンドウィッチ諸島,GS,SGS,239,ISO 3166-2:GS
サモア,WS,WSM,882,ISO 3166-2:WS
サントメ・プリンシペ,ST,STP,678,ISO 3166-2:ST
サン・バルテルミー,BL,BLM,652,ISO 3166-2:BL
ザンビア,ZM,ZMB,894,ISO 3166-2:ZM
サンピエール島・ミクロン島,PM,SPM,666,ISO 3166-2:PM
サンマリノ,SM,SMR,674,ISO 3166-2:SM
サン・マルタン（フランス領）,MF,MAF,663,ISO 3166-2:MF
シエラレオネ,SL,SLE,694,ISO 3166-2:SL
ジブチ,DJ,DJI,262,ISO 3166-2:DJ
ジブラルタル,GI,GIB,292,ISO 3166-2:GI
ジャージー,JE,JEY,832,ISO 3166-2:JE
ジャマイカ,JM,JAM,388,ISO 3166-2:JM
シリア・アラブ共和国,SY,SYR,760,ISO 3166-2:SY
シンガポール,SG,SGP,702,ISO 3166-2:SG
シント・マールテン（オランダ領）,SX,SXM,534,ISO 3166-2:SX
ジンバブエ,ZW,ZWE,716,ISO 3166-2:ZW
スイス,CH,CHE,756,ISO 3166-2:CH
スウェーデン,SE,SWE,752,ISO 3166-2:SE
スーダン,SD,SDN,729,ISO 3166-2:SD
スヴァールバル諸島およびヤンマイエン島,SJ,SJM,744,ISO 3166-2:SJ
スペイン,ES,ESP,724,ISO 3166-2:ES
スリナム,SR,SUR,740,ISO 3166-2:SR
スリランカ,LK,LKA,144,ISO 3166-2:LK
スロバキア,SK,SVK,703,ISO 3166-2:SK
スロベニア,SI,SVN,705,ISO 3166-2:SI
スワジランド,SZ,SWZ,748,ISO 3166-2:SZ
セーシェル,SC,SYC,690,ISO 3166-2:SC
赤道ギニア,GQ,GNQ,226,ISO 3166-2:GQ
セネガル,SN,SEN,686,ISO 3166-2:SN
セルビア,RS,SRB,688,ISO 3166-2:RS
セントクリストファー・ネイビス,KN,KNA,659,ISO 3166-2:KN
セントビンセントおよびグレナディーン諸島,VC,VCT,670,ISO 3166-2:VC
セントヘレナ・アセンションおよびトリスタンダクーニャ,SH,SHN,654,ISO 3166-2:SH
セントルシア,LC,LCA,662,ISO 3166-2:LC
ソマリア,SO,SOM,706,ISO 3166-2:SO
ソロモン諸島,SB,SLB,90,ISO 3166-2:SB
タークス・カイコス諸島,TC,TCA,796,ISO 3166-2:TC
タイ,TH,THA,764,ISO 3166-2:TH
大韓民国,KR,KOR,410,ISO 3166-2:KR
台湾（台湾省/中華民国）,TW,TWN,158,ISO 3166-2:TW
タジキスタン,TJ,TJK,762,ISO 3166-2:TJ
タンザニア,TZ,TZA,834,ISO 3166-2:TZ
チェコ,CZ,CZE,203,ISO 3166-2:CZ
チャド,TD,TCD,148,ISO 3166-2:TD
中央アフリカ共和国,CF,CAF,140,ISO 3166-2:CF
中華人民共和国,CN,CHN,156,ISO 3166-2:CN
チュニジア,TN,TUN,788,ISO 3166-2:TN
朝鮮民主主義人民共和国,KP,PRK,408,ISO 3166-2:KP
チリ,CL,CHL,152,ISO 3166-2:CL
ツバル,TV,TUV,798,ISO 3166-2:TV
デンマーク,DK,DNK,208,ISO 3166-2:DK
ドイツ,DE,DEU,276,ISO 3166-2:DE
トーゴ,TG,TGO,768,ISO 3166-2:TG
トケラウ,TK,TKL,772,ISO 3166-2:TK
ドミニカ共和国,DO,DOM,214,ISO 3166-2:DO
ドミニカ国,DM,DMA,212,ISO 3166-2:DM
トリニダード・トバゴ,TT,TTO,780,ISO 3166-2:TT
トルクメニスタン,TM,TKM,795,ISO 3166-2:TM
トルコ,TR,TUR,792,ISO 3166-2:TR
トンガ,TO,TON,776,ISO 3166-2:TO
ナイジェリア,NG,NGA,566,ISO 3166-2:NG
ナウル,NR,NRU,520,ISO 3166-2:NR
ナミビア,NA,NAM,516,ISO 3166-2:NA
南極,AQ,ATA,10,ISO 3166-2:AQ
ニウエ,NU,NIU,570,ISO 3166-2:NU
ニカラグア,NI,NIC,558,ISO 3166-2:NI
ニジェール,NE,NER,562,ISO 3166-2:NE
日本,JP,JPN,392,ISO 3166-2:JP
西サハラ,EH,ESH,732,ISO 3166-2:EH
ニューカレドニア,NC,NCL,540,ISO 3166-2:NC
ニュージーランド,NZ,NZL,554,ISO 3166-2:NZ
ネパール,NP,NPL,524,ISO 3166-2:NP
ノーフォーク島,NF,NFK,574,ISO 3166-2:NF
ノルウェー,NO,NOR,578,ISO 3166-2:NO
ハード島とマクドナルド諸島,HM,HMD,334,ISO 3166-2:HM
バーレーン,BH,BHR,48,ISO 3166-2:BH
ハイチ,HT,HTI,332,ISO 3166-2:HT
パキスタン,PK,PAK,586,ISO 3166-2:PK
バチカン市国,VA,VAT,336,ISO 3166-2:VA
パナマ,PA,PAN,591,ISO 3166-2:PA
バヌアツ,VU,VUT,548,ISO 3166-2:VU
バハマ,BS,BHS,44,ISO 3166-2:BS
パプアニューギニア,PG,PNG,598,ISO 3166-2:PG
バミューダ,BM,BMU,60,ISO 3166-2:BM
パラオ,PW,PLW,585,ISO 3166-2:PW
パラグアイ,PY,PRY,600,ISO 3166-2:PY
バルバドス,BB,BRB,52,ISO 3166-2:BB
パレスチナ,PS,PSE,275,ISO 3166-2:PS
ハンガリー,HU,HUN,348,ISO 3166-2:HU
バングラデシュ,BD,BGD,50,ISO 3166-2:BD
東ティモール,TL,TLS,626,ISO 3166-2:TL
ピトケアン,PN,PCN,612,ISO 3166-2:PN
フィジー,FJ,FJI,242,ISO 3166-2:FJ
フィリピン,PH,PHL,608,ISO 3166-2:PH
フィンランド,FI,FIN,246,ISO 3166-2:FI
ブータン,BT,BTN,64,ISO 3166-2:BT
ブーベ島,BV,BVT,74,ISO 3166-2:BV
プエルトリコ,PR,PRI,630,ISO 3166-2:PR
フェロー諸島,FO,FRO,234,ISO 3166-2:FO
フォークランド（マルビナス）諸島,FK,FLK,238,ISO 3166-2:FK
ブラジル,BR,BRA,76,ISO 3166-2:BR
フランス,FR,FRA,250,ISO 3166-2:FR
フランス領ギアナ,GF,GUF,254,ISO 3166-2:GF
フランス領ポリネシア,PF,PYF,258,ISO 3166-2:PF
フランス領南方・南極地域,TF,ATF,260,ISO 3166-2:TF
ブルガリア,BG,BGR,100,ISO 3166-2:BG
ブルキナファソ,BF,BFA,854,ISO 3166-2:BF
ブルネイ・ダルサラーム,BN,BRN,96,ISO 3166-2:BN
ブルンジ,BI,BDI,108,ISO 3166-2:BI
ベトナム,VN,VNM,704,ISO 3166-2:VN
ベナン,BJ,BEN,204,ISO 3166-2:BJ
ベネズエラ・ボリバル共和国,VE,VEN,862,ISO 3166-2:VE
ベラルーシ,BY,BLR,112,ISO 3166-2:BY
ベリーズ,BZ,BLZ,84,ISO 3166-2:BZ
ペルー,PE,PER,604,ISO 3166-2:PE
ベルギー,BE,BEL,56,ISO 3166-2:BE
ポーランド,PL,POL,616,ISO 3166-2:PL
ボスニア・ヘルツェゴビナ,BA,BIH,70,ISO 3166-2:BA
ボツワナ,BW,BWA,72,ISO 3166-2:BW
ボネール、シント・ユースタティウスおよびサバ,BQ,BES,535,ISO 3166-2:BQ
ボリビア多民族国,BO,BOL,68,ISO 3166-2:BO
ポルトガル,PT,PRT,620,ISO 3166-2:PT
香港,HK,HKG,344,ISO 3166-2:HK
ホンジュラス,HN,HND,340,ISO 3166-2:HN
マーシャル諸島,MH,MHL,584,ISO 3166-2:MH
マカオ,MO,MAC,446,ISO 3166-2:MO
マケドニア旧ユーゴスラビア共和国,MK,MKD,807,ISO 3166-2:MK
マダガスカル,MG,MDG,450,ISO 3166-2:MG
マヨット,YT,MYT,175,ISO 3166-2:YT
マラウイ,MW,MWI,454,ISO 3166-2:MW
マリ,ML,MLI,466,ISO 3166-2:ML
マルタ,MT,MLT,470,ISO 3166-2:MT
マルティニーク,MQ,MTQ,474,ISO 3166-2:MQ
マレーシア,MY,MYS,458,ISO 3166-2:MY
マン島,IM,IMN,833,ISO 3166-2:IM
ミクロネシア連邦,FM,FSM,583,ISO 3166-2:FM
南アフリカ,ZA,ZAF,710,ISO 3166-2:ZA
南スーダン,SS,SSD,728,ISO 3166-2:SS
ミャンマー,MM,MMR,104,ISO 3166-2:MM
メキシコ,MX,MEX,484,ISO 3166-2:MX
モーリシャス,MU,MUS,480,ISO 3166-2:MU
モーリタニア,MR,MRT,478,ISO 3166-2:MR
モザンビーク,MZ,MOZ,508,ISO 3166-2:MZ
モナコ,MC,MCO,492,ISO 3166-2:MC
モルディブ,MV,MDV,462,ISO 3166-2:MV
モルドバ共和国,MD,MDA,498,ISO 3166-2:MD
モロッコ,MA,MAR,504,ISO 3166-2:MA
モンゴル,MN,MNG,496,ISO 3166-2:MN
モンテネグロ,ME,MNE,499,ISO 3166-2:ME
モントセラト,MS,MSR,500,ISO 3166-2:MS
ヨルダン,JO,JOR,400,ISO 3166-2:JO
ラオス人民民主共和国,LA,LAO,418,ISO 3166-2:LA
ラトビア,LV,LVA,428,ISO 3166-2:LV
リトアニア,LT,LTU,440,ISO 3166-2:LT
リビア,LY,LBY,434,ISO 3166-2:LY
リヒテンシュタイン,LI,LIE,438,ISO 3166-2:LI
リベリア,LR,LBR,430,ISO 3166-2:LR
ルーマニア,RO,ROU,642,ISO 3166-2:RO
ルクセンブルク,LU,LUX,442,ISO 3166-2:LU
ルワンダ,RW,RWA,646,ISO 3166-2:RW
レソト,LS,LSO,426,ISO 3166-2:LS
レバノン,LB,LBN,422,ISO 3166-2:LB
レユニオン,RE,REU,638,ISO 3166-2:RE
ロシア連邦,RU,RUS,643,ISO 3166-2:RU
